Origin,Dest,Distance
IAH,SHV,192
RNO,SFO,192
HOU,SAT,192
ATL,CAE,192
MCO,MIA,192
SFO,RNO,192
SAT,HOU,192
SFO,MMH,193
MMH,SFO,193
MHT,LGA,195
LGA,MHT,195
EWR,SYR,195
SYR,EWR,195
JFK,HYA,196
MTJ,DEN,196
HYA,JFK,196
ORD,CID,196
PHL,BDL,196
BDL,PHL,196
MSP,FSD,196
DEN,MTJ,196
FSD,MSP,196
CID,ORD,196
TPA,FLL,197
LAS,ONT,197
ONT,LAS,197
FLL,TPA,197
APN,DTW,198
PHL,RIC,198
RIC,PHL,198
LGA,SYR,198
SYR,LGA,198
DTW,APN,198
YAK,JNU,198.91712707182322
JNU,YAK,198.91712707182322
DCA,EWR,199
ACK,JFK,199
SFO,RDD,199
EWR,DCA,199
BJI,MSP,199
MSP,BJI,199
RDD,SFO,199
JFK,ACK,199
BOS,EWR,200
SLC,EKO,200
EKO,SLC,200
EWR,BOS,200
CRP,IAH,201
PIT,DTW,201
LIH,OGG,201
IAH,LFT,201
LFT,IAH,201
OGG,LIH,201
DTW,PIT,201
IAH,CRP,201
SBN,CVG,203
MIA,TPA,204
SCC,BRW,204
TPA,MIA,204
DCA,PIT,204
BRW,SCC,204
PIT,DCA,204
JAC,SLC,205
SLC,JAC,205
TVC,DTW,207
DTW,TVC,207
VLD,ATL,208
ATL,VLD,208
FAT,LAX,209
EWR,MHT,209
JFK,SYR,209
SYR,JFK,209
LAX,FAT,209
MHT,EWR,209
PIT,BWI,210
BWI,PIT,210
IAD,EWR,212
EWR,IAD,212
DEN,GJT,212
GJT,DEN,212
ORD,CWA,212.26592977893367
CWA,ORD,212.26640675763483
CDV,YAK,213
TOL,ORD,213
ORD,TOL,213
YAK,CDV,213
DCA,JFK,213
JFK,DCA,213
CLE,SCE,213
BNA,ATL,214
ATL,SAV,214
LGA,DCA,214
DCA,LGA,214
ATL,BNA,214
SAV,ATL,214
LSE,ORD,215
ORD,LSE,215
DAL,IAH,216
GJT,SLC,216
SLC,GJT,216
ITO,HNL,216
SFO,SMX,216
IAH,DAL,216
HNL,ITO,216
SMX,SFO,216
BWI,ISP,220
MSP,CID,220
ISP,BWI,220
CID,MSP,220
CDC,SLC,221
SLC,CDC,221
SLC,SUN,222
SUN,SLC,222
MBS,ORD,222
ORD,MBS,222
TLH,ATL,223
FAR,MSP,223
BUR,LAS,223
MSP,FAR,223
ATL,TLH,223
ORD,FNT,223
FNT,ORD,223
LAS,BUR,223
IAH,DFW,224
SEA,GEG,224
GEG,SEA,224
DFW,IAH,224
IAD,RDU,224
ORD,TVC,224
TVC,ORD,224
RDU,IAD,224
ATL,CLT,226
CLT,ATL,226
SNA,LAS,226
LAS,SNA,226
FSM,DFW,227
DCA,RDU,227
DFW,FSM,227
TRI,ATL,227
ATL,TRI,227
RDU,DCA,227
IAD,JFK,228
MSN,MSP,228
DTW,MDW,228
JFK,IAD,228
MDW,DTW,228
MSP,MSN,228
DFW,SJT,229
SJT,DFW,229
CVG,DTW,229
IAD,LGA,229
DTW,CVG,229
LGA,IAD,229
CPR,DEN,230
CVG,BNA,230
BNA,CVG,230
DEN,CPR,230
DTW,IND,231
LAS,LGB,231
LGB,LAS,231
IND,DTW,231
DSM,MSP,232
MSP,DSM,232
DCA,HPN,234
ALO,ORD,234
ORD,ALO,234
JNU,KTN,234
KTN,JNU,234
HPN,DCA,234
ORD,DTW,235
DTW,ORD,235
MSP,ATW,236
ATW,MSP,236
LAS,LAX,236
LAX,LAS,236
DTW,MKE,237
TUL,DFW,237
MCI,STL,237
DFW,TUL,237
TUL,DAL,237
STL,MCI,237
DAL,TUL,237
MKE,DTW,237
PHL,PVD,237
PVD,PHL,237
ATL,BQK,238
BQK,ATL,238
BFL,SFO,238
SFO,BFL,238
IAD,GSO,239
GSO,IAD,239
DAL,HOU,239
HOU,DAL,239
ATL,ECP,240
DAY,ORD,240
ORD,DAY,240
ECP,ATL,240
ATL,GTR,241
GTR,ATL,241
DTW,BUF,241
BUF,DTW,241
DTW,PLN,243
PLN,DTW,243
EWR,ROC,246
ROC,EWR,246
DFW,HOU,247
DFW,SAT,247
SAT,DFW,247
HOU,DFW,247
DAL,SAT,248
SAT,DAL,248
VPS,ATL,250
ACV,SFO,250
ATL,VPS,250
SFO,ACV,250
DRO,DEN,250.73121869782972
DEN,DRO,250.73121869782972
STL,MDW,251
MDW,STL,251
MSP,GRB,252
GRB,MSP,252
ADQ,ANC,253
IAH,BTR,253
BTR,IAH,253
ANC,ADQ,253
ROC,LGA,254
LGA,ROC,254
LAS,PHX,255
PHX,LAS,255
MSP,INL,255
RDU,BWI,255
INL,MSP,255
BWI,RDU,255
CVG,PIT,256
PIT,CVG,256
IMT,MSP,257
CLT,RIC,257
ABR,MSP,257
RIC,CLT,257
MSP,IMT,257
MSP,ABR,257
LAS,SAN,258
STL,ORD,258
ORD,STL,258
SAN,LAS,258
LGA,BTV,258
BTV,LGA,258
CHS,ATL,259
ATL,CHS,259
RKS,DEN,260
DEN,RKS,260
RKS,GCC,261
FAI,ANC,261
PHX,PSP,261
GCC,RKS,261
ANC,FAI,261
PSP,PHX,261
MLU,IAH,262
SBA,SFO,262
IAH,MLU,262
SFO,SBA,262
JFK,ROC,264
ROC,JFK,264
CVG,ORD,264.765867731913
ORD,CVG,264.7669481853458
JFK,BTV,266
EWR,BTV,266
BTV,EWR,266
BTV,JFK,266
LAX,MRY,266
MRY,LAX,266
PIT,PHL,268
RST,ORD,268
PHL,PIT,268
ORD,RST,268
CVG,GRR,268
GRR,CVG,268
ORD,EAU,268.2520547945206
EAU,ORD,268.2520547945206
LGA,PWM,269
PWM,LGA,269
BPT,DFW,270
JAX,ATL,270
ATL,JAX,270
DFW,BPT,270
ATL,PNS,271
SDF,MDW,271
PNS,ATL,271
MDW,SDF,271
STL,BNA,272
SGU,SLC,272
SLC,SGU,272
BNA,STL,272
EVV,ORD,272.17380092831354
ORD,EVV,272.1738906088751
SLC,WYS,273
PWM,JFK,273
WYS,SLC,273
JFK,PWM,273
AUS,HRL,273
HRL,AUS,273
MLI,MSP,274
ACY,BOS,274
DCA,CAK,274
CAK,DCA,274
MSP,MLI,274
BOS,ACY,274
HRL,HOU,277
BWI,ROC,277
RIC,EWR,277
ROC,BWI,277
